Title,Part of Speech,Meaning
abo ang laman ng ulo,adjective,showing lack of intelligence
abot-dili,adjective,"in a critical or serious condition
about to die"
ahas na tulog,adjective,"slowfoot
habitually sluggish"
ahas sa damo,adjective,"dishonest
treacherous"
ahas-bahay,adjective,one who always stays in the house
alagad ng batas,noun,"people charged with law enforcement
the policemen, detectives, etc."
alas singko,adjective,drunk
alimuom,noun,"rumors
gossip"
alisin sa isip,verb,to forget
alog na ang baba,adjective,old already
alsa-balutan,adjective,changeable as to residence
amoy-kambing,adjective,repellent odor of the armpit
amoy-tsiko,adjective,"drunk
intoxicated"
ampalayang-ampalaya,adjective,"stingy
miserly"
ampaw,adjective,"weak
weak-kneed"
anak sa labas,adjective,"a bastard
an illegitimate child"
anak-pawis,adjective,"destitute
a poor man, usually referring to a laborer"
anay,noun,traitor
anghel ng tahanan,noun,small children
apa,adjective,"brittle
weak"
asal-Hudas,adjective,treacherous
