Title,Part of Speech,Meaning
babad,verb,"long stay in a certain place, for instance, in the house of the girl being courted
over-staying in a gambling den, theater, etc."
babae,noun,"not the real wife
a concubine"
babaha ng dugo,noun,there will be bloodshed
baboy na baboy,adjective,"dirty
filthy"
bagong-ahon,noun,"a newcomer
has just arrived"
bagong-bakal,noun,a new pair of shoes
bagong-daigdig,noun,"new life
new way of life"
bagong-tao,noun,young bachelor
bagyo,adjective,very boastful
bahag ang buntot,adjective,afraid
bahay na bato,noun,prison
bahid-dungis,noun,"dirt
stain (usually used in the figurative sense)"
bakal na kalooban,adjective,"brave, courageous"
bakbakan,verb,"a fight
a serious quarrel"
bakulaw,noun,referring to a man with long hair
balat-kalabaw,adjective,"thick skinned
shameless"
balat-sibuyas,adjective,thin and smooth (referring to the skin)
baligtad ang bulsa,adjective,lost in gambling
balikatan,adjective,full exertion of effort in one's work
balikatan,adverb,full exertion of effort in one's work
balikatin,verb,to exert effort in doing one's work
balitang kutsero,noun,"false news
unreliable news"
balot sa puti,adjective,heavily in debt
bals-wals,adjective,"worthless
of no value"
bantay-salakay,noun,"the guard who steals
a dishonest custodian"
bantay-salakay,adjective,"the guard who steals
a dishonest custodian"
bantay-tumana,adjective,a custodian who does not know the losses under his care
baon sa utang,adjective,too many debts
basa ang papel,adjective,bad record
basag-ulo,noun,a quarrel
