Title,Part of Speech,Meaning
daanan,verb,to fetch someone
daanin sa tigas ng buto,verb,to take anything through force
dagok ng kapalaran,noun,"bad luck
misfortune"
dagok ng kapalaran,adjective,"bad luck
misfortune"
di-kabagang,adjective,not in harmony
di-maabot-sabi,adjective,"cannot find words to express
unable to express what should be expressed"
di-maabot-tanaw,adjective,cannot be reached by one's sight due to distance or area
di-mababayaran ang tiyan,adjective,very satisfied (referring to the food eaten)
di-mahapayang gatang,adjective,"would not yield in a verbal clash
sharp-tongued"
di-mahulugang karayom,adjective,"crowded
too many people"
di-makabasag pinggan,adjective,"very meek
quiet and gentle"
di-maliparang-uwak,adjective,very wide (track of land)
di-mataga,adjective,"a well-dressed, good-looking young man"
di-nagtatanaw-tama,verb,have not seen or met for quite a time
dibdibin,verb,"to think seriously
to consider something whole-heartedly"
dilang-ginto,adjective,"fluency
eloquence"
dilat ang mata,adjective,intelligent
dinaan sa bibig,verb,quarreling using sharp tongues for weapon
dinapuan ng karamdaman,verb,"became sick
fell ill"
dugo ng kanyang dugo,noun,child
dugong mahal,adjective,royal blood
dupong,noun,a person with dark complexion
dupong,adjective,a person with dark complexion
durugin ang puso,verb,to inflict mental suffering to others
