Title,Part of Speech,Meaning
habi ng dila,noun,"product of careless tongue
result of an indiscriminate speech"
hagilapin sa alaala,verb,to exert efforts to recall something forgotten or which did not really happen
hagisan ng tuwalya,verb,making the opponent surrender
haharap sa dambana,verb,to get married
haharap sa magaling,verb,to get married
halagang ginto,adjective,"very costly
the cost is sky-high"
halagang kambing,adjective,"both big and small have the same price
no difference in the cost"
halang ang bituka,adjective,not afraid to die or to kill someone
haligi ng tahanan,noun,the father
halu-halong kalamay,adjective,mixed together without order
hamog sa tag-araw,adjective,relief of the poor
hampas ng langit,noun,God's punishment
"hampas sa kalabaw, sa kabayo ang latay",adjective,an indirect way of commenting or an indirect verbal attack
hampas-lupa,noun,vagabond
hampas-lupa,adjective,vagabond
hanap sa tubig,adjective,fortune acquired through bad means
hanggang bibig,adjective,referring to things said but not done
hanggang sa labi ng hukay,adjective,"till death
up to the grave"
harapin ang sinaing,verb,to watch the rice that is being cooked
hari ng daldal,adjective,"exceedingly talkative
incomparably talkative"
hari ng dunong,adjective,"exceedingly bright
incomparably bright"
hari ng ganda,adjective,"exceedingly beautiful
incomparably bright"
hari ng pangit,adjective,"exceedingly ugly
incomparably ugly"
hari ng sama,adjective,"exceedingly bad
incomparably bad"
hari ng sungit,adjective,"exceedingly fastidious
very hard to please"
hari ng yaman,adjective,"exceedingly rich
very wealthy"
hasang-hasa,adjective,accustomed or used to a particular way or work
hawak sa tainga,adjective,"obeying, without any objection, anything he is asked to do or perform by the one commanding him"
hawang-lamig,adjective,not a true or real relative
higad,noun,tightwad and selfish
