Title,Part of Speech,Meaning
ibabag ang katawan,verb,to exert effort and to seriously perform one's duty or task
ibabaw ng lupa,noun,world
ibagsak ang sisi,verb,to blame a person for a certain fault
ibako,verb,"to embarrass
to stop the boastfulness"
ibangon ang puri,verb,to regain one's lost honor
ibaon sa limot,verb,to forget
ibayong dagat,noun,foreign land
ibig na ayaw,adjective,undecided
ibilang sa wala,verb,to forget
ibilanggo sa mga bisig,verb,to embrace
ibong mababa ang lipad,noun,"a prostitute
a bad woman"
ibong malaya,noun,a bachelor
ibong sawi,adjective,an unfortunate person
ibuhos ang isip,verb,to concentrate
ibuhos ang kalooban,verb,to trust completely
ibuko,verb,"to embarrass
to stop the boastfulness"
ibulong nang malakas,verb,to expose a secret
igagapang,verb,to assiduously support or patiently help another
iginupo ng sariling bigat,adjective,met destruction of much ego or pride
igisa sa sariling mantika,verb,to invite a friends to eat and to make him or her pay for the expenses
iguhit sa noo,verb,to remember
iguhit sa tubig,verb,"do not consider
to count as nothing"
ihatid sa dambana,verb,to marry someone
iisa ang tugtugin,adjective,two persons with the same habits and customs
ikaapat na kapangyarihan,noun,the press
ikapitong langit,adjective,"extreme happiness
incomparable happiness"
ikatlong pagkarapa,noun,third misfortune (usually pertaining to love affair)
ikuros sa noo,verb,to remember
ilaki ng loob,verb,to be the cause of one's stubbornness
ilaki ng ulo,verb,to add to one's numerous problems
