Title,Part of Speech,Meaning
kaaway ng liwanag,noun,"thief
robber"
kababaang-loob,noun,humbleness
kabagang,noun,one who can go on harmoniously with another
kabagang,adjective,one who can go on harmoniously with another
kabatakan,noun,"friend
one with whom one can rely for help"
kabatakan,adjective,"friend
one with whom one can rely for help"
kabatakang-kumot,noun,"friend
one with whom one can rely for help"
kabatakang-kumot,adjective,"friend
one with whom one can rely for help"
kabilang daigdig,noun,"heaven
place where the souls go after death"
kabit,noun,common-law wife
kabiyak ng dibdib,noun,wife
kabungguang-balikat,noun,"friend
a constant companion"
kabungguang-balikat,adjective,"friend
a constant companion"
kabutu-butong anak,adjective,the only child
kadaupang-palad,noun,"a friend
a constant companion"
kagandahang-loob,adjective,"goodness of character
kindhearted"
kagat,adjective,"fitted
suited"
kahig nang kahig,verb,continuously looking for means of livelihood
kahiramang-suklay,noun,"a friend
a constant companion"
kahiramang-suklay,adjective,"a friend
a constant companion"
kaibigang-putik,adjective,a friend in name only
kain-kainin,adjective,"one often belittled ang embarrassed
one often looked down upon by others"
kakalug-kalog,adjective,too few for a big house
kakaning-itik,noun,"one who is often belittled
one frequently victimized"
kalabasang naiiwan ang bunga,adjective,a person who accomplishes nothing with the flight of time
kalabasang pula,noun,"fire
conflagration"
kalam ng tiyan,noun,a feeling of hunger
kalamayin ang loob,verb,to calm one's self
kalapating mababa ang lipad,noun,a prostitute
kalatog-pinggan,noun,"referring to visitors who go to parties or gatherings uninvited (especially to nightly prayers for the dead, usually lasting for ten days)"
