Title,Part of Speech,Meaning
labanan ng mga puso,adjective,avoiding conversation between two lovers (during the quarrel)
labas sa bakuran,adjective,outside one's jurisdiction
labas-masok,adjective,more or less
labi ng aso,adjective,a young lady who eloped with a man ang later returned to her parents
labi ng hukay,noun,grave
"labis sa pito, kulang sa walo",adjective,"unbalanced mind
insane like"
laglag-luksa,noun,death anniversary
lagot ang pisi,adjective,"the money is gone
broke"
lakad-pagong,adjective,"slow
walks sluggishly"
lakad-suso,adjective,"slow
walks sluggishly"
lakas ng lagnat,adjective,high temperature die to a severe fever
lakas-loob,adjective,"courageously
bravely"
laki sa lansangan,adjective,lacking in good manners and parents advice
laki sa nuno,adjective,pampered grandchild
lalabasan,adjective,possessing intelligence or ability
laman ng kapitbahay,adjective,always in the home of the neighbors
laman ng laman,noun,daughter or son
laman ng lansangan,noun,vagabond
lamang-kati,noun,meat of butchered animals
lamang-loob,noun,"inside organs of butchered animals: intestines, liver, kidney, etc."
lamang-lupa,noun,fruits that grow under the ground
lamang-tiyan,noun,anything good to eat
lamog ang katawan,adjective,"the body has been subjected to beating, pinching or other forms of physical punishment"
landas na matinik,noun,difficulties or sacrifices
langaw at gatas,adjective,"applies to a couple, when the woman is very beautiful and the man is very ugly"
langis at tubig,noun,rivals
langis-langisan,verb,"to court the favor
to win the sympathy"
langit at lupa,adjective,"referring to habits, customs or characteristics extremely opposite"
langit ng buhay,adjective,complete happiness
lantang bulaklak,adjective,"a girl who lost her honor
a disgraced woman"
