Title,Part of Speech,Meaning
maamong kalapati,adjective,having good behavior
maamong tupa,adjective,having good behavior
mababa ang luha,adjective,a person who easily sheds tears
mababang-loob,adjective,modest and unassuming behavior
mabait,noun,term used when referring to the rats
mabigat ang bibig,adjective,laconic in a proud or boastful manner
mabigat ang dibdib,adjective,with an ill-feeling or sorrow
mabigat ang dugo,adjective,with strong hostility or opposition towards a person or something
mabigat ang kamay,adjective,"unwilling to do any work
unwilling to make an effort"
mabigat ang kamay,adjective,"does not know how to take care of
whatever is taken care of animal or plant becomes unhealthy or dies"
mabigat ang katawan,adjective,too ill (usually a serious cold or slight fever) to do something
mabigat ang loob,adjective,"silently in the state of disapproval
against the will"
mabigat ang paa,adjective,hardly left the house
mabigat ang salapi,adjective,difficult to earn money
mabigat ang timbang,adjective,have a powerful influence on people and what they do or on events
mabigat ang ulo,adjective,has a slight ailment which is headache
mabigat panimbangan,adjective,difficult to get along with
mabilis ang kamay,adjective,someone who is fast in stealing from others
mabulaklak ang landas,adjective,happy and comfortable life
mabulaklak na kahapon,adjective,past period of life that became happy and comfortable
mabunganga,adjective,someone talking excessively
mabuti ang dila,adjective,good speaker
mabuti ang katawan,adjective,in healthy condition
mabuti ang ulo,adjective,having intelligence to a highly developed degree
mabuti ang ulo,adjective,in good state of mind
mabuting-kamay,adjective,"good care
good people"
madaling magbara,adjective,easily offended or angered
mag-asawang kalapati,adjective,together at all times
mag-unat ng sahig,verb,to rest with the body flat usually in bed
mag-unat ng sahig,adjective,idle and always wants to lie down
