Title,Part of Speech,Meaning
naamuyan,verb,heard an information
nababago sa mata,adjective,never saw a particular person or thing before
nabagoong,adjective,has remained or has not left the position for a long time
nabagsak,adjective,placed into misfortune because of carelessness
nabagsak,adjective,failed to pass
nabagsakan ng langka,adjective,suffering from smallpox
nabasket,verb,considered of no importance or value
nabato-balani,adjective,attracted and held somebody's attention by pleasing or irresistible characteristics
nabuka sa bibig,verb,mentioned something unintentionally
nabuko,adjective,unhappy because something hoped for or expected did not happen
nabuksan ang langit,adjective,"had a clear mind
became happy again"
nabuwaya,adjective,cheated because there's no payment received
nadulas ang dila,verb,mentioned something unintentionally
nag-aagaw-buhay,adjective,in a critical or serious condition
nag-aagaw-dilim,adjective,"night is approaching
after sunset"
nag-alab,adjective,intensify (this refers to anger)
nag-iisang kakawag-kawag,adjective,working alone without a helper
nagbabalik inihaw,adjective,constantly moving
nagbabanat ng buto,verb,engaged in doing work for a living
nagbabanat ng ugat,adjective,engaged in doing work for a living
nagbabara ang butas ng ilong,adjective,felt irritated or mildly angry to somebody
nagbalik ang hangin,adjective,the events were reversed
nagbayad ng mahal,noun,the punishment received was greater than the offense committed
nagbibilang ng bituin,adjective,no hope of success
nagbibilang ng bituin,adjective,to want something very much and imagine having or doing it though it may be unlikely
nagbibilang ng poste,verb,looking for work
nagbibilang ng poste,noun,a person without a job
nagbububusa ang bibig,verb,swearing in loud manner
nagbubuhat ng sariling bangko,verb,always praising oneself
nagbubutas ng silya,verb,a person who remains seated and not interacting
