Title,Part of Speech,Meaning
paa't kamay,noun,an indispensable helper
pabagsak,noun,money or anything of value given as bribe
pabalat-bunga,adjective,a pretentious statement or invitation as if true but in reality is not
pag puti ng uwak,adjective,"the time or event that will not come
an impossible thing"
pag-aabot ng kamay,verb,offering help
pag-iisang dibdib,verb,wedlock of two people
pagbabagong-loob,verb,change of opinion or viewpoint
pagbuhatan ng kamay,verb,the act of hurting or torturing
paghingi ng kamay,verb,a man or his parents asking for the young woman's hand in marriage
pagkagat ng dilim,verb,at nightfall
paglilipat-kamay,verb,changing ownership
pagmamahabang-dulang,verb,wedlock of two people
pagpapantay ng paa,noun,end of life of any form
pagtatampisaw sa putik,verb,"refers to a married woman who is loving another man
act of doing evil"
pakakanin ng bala,verb,will shoot with a gun
pakanin sa palad,verb,treat nicely
pakimkim sa kamay,noun,money given by the godfather or godmother to a child after the baptism or confirmation
pakitang-tao,adjective,an act of doing or behaving that is not whole-hearted but is intended to deceive somebody
palaboy ng Diyos,adjective,a man who practically stays on streets and wanders from place to place
palung-palo,verb,"earnestly wanting something or someone
excessively admiring something or someone"
pamasak-butas,adjective,a person who is just a substitute or replacement for somebody
pamatid-uhaw,noun,beverage or soft drinks
pambala sa kanyon,adjective,people who are lazy or useless
pambayad-utang,adjective,"usually refers to the daughter of a ""playboy"""
pampalubag-loob,noun,something of not much value given to somebody to please the receiver (usually referring to a reward)
pampatabang-puso,noun,something that gives happiness and joy
panakip-butas,adjective,a person who is just a substitute or replacement for somebody
panay na pakahig,adjective,always want to receive but does not reciprocate
pangamoy,noun,feeling or detecting the presence of something
paniningalang-pugad,noun,a phase in adolescent life of a boy when he begins to court a girl of his age
