Title,Part of Speech,Meaning
sa kabilang-buhay,noun,where the soul will be after death
sa tiyan ng lupa,noun,grave
saanmang gubat ay may ahas,noun,there is always one who is evil in a group or organization
salaming-babasagin,adjective,referring to young ladies with their delicate nature
saling-pusa,noun,not really included or a participant
sambakol ang mukha,adjective,"hateful
feeling or showing hate
hostile"
sampay-bakod,adjective,not genuine
sampung piraso ang mukha,adjective,frowning and angry
sanga-sangang dila,adjective,fond of spreading gossip
santo-santito,adjective,pretending to be good and harmless
sapin ng baul,adjective,the most elegant and best dress
sapin ng baul,adjective,last money on hand
sariling pugad,noun,one's own home
siling labuyo,adjective,"referring to a person who, though small is strong, brave or is great"
sinangkalan,verb,"to use a person, thing or happening as an excuse or reason for something"
sinulot,verb,"deprived someone of his work, position, beloved, etc. by foul means"
sinuob ng kamanyang,verb,praised by means of beautiful words
sira ang bait,adjective,a person who is mentally deranged
sira ang tuktok,adjective,"not acting with or subject to reason
lunatic"
sugat ng puso,noun,emotional pain of a person
sukat ang bulsa,verb,knows the ability to pay
sumagap ng alimuom,verb,to pick up news or information circulating around
sumagasa sa ulan,verb,to go out in the rain
sumakabilang-buhay,verb,to cease to be alive
sumakamay,verb,received
sumalangit,verb,already died and the soul went up to heaven
sumalunga sa agos,verb,"to act against
to express disapproval"
sumama sa agos,verb,"agreed with the majority
united"
sumapayapa,verb,to cease to be alive
sumasala sa oras,adjective,does not eat three meals a day because of poverty
