Title,Part of Speech,Meaning
taal na lalaki,adjective,"a real man
a strong and brave man"
tabang lamig,adjective,"fat and big body but unhealthy
stout in body but unhealthy and gets sick very often"
tabla ang mukha,adjective,lacking any sense of shame
taga sa panahon,adjective,"mature
ripe with experience and knowledge"
tagong-bayawak,adjective,hiding with the head seen
tagong-pagong,adjective,hiding but head is seen
tahi sa balat ang hiya,adjective,having no sense of shame
taingang kawali,adjective,"deaf or pretending to be deaf
a person who turns a deaf ear to any suggestion"
taingang tapayan,adjective,"pretends not hearing anything
ignores what is heard"
takaw-apoy,adjective,easily set on fire
takaw-nakaw,adjective,"prone to be stolen
easy to steal"
takaw-tingin,adjective,"admired by people
charming"
takaw-tulog,adjective,"always want to sleep
constantly sleepy"
takip-silim,noun,"almost evening
sky is getting dark"
talo-saling,adjective,"very sensitive
cries or gets angry for a slight cause or small thing"
talu-sira,adjective,"does not come up to one's word or to an agreement
one who easily breaks a promise"
tao sa mula,adjective,"ignorant or foolish people
people who did not have the chance to study"
taong-bulsa,noun,the last money content in the pocket
taos-puso,adjective,"sincere
full of feelings"
tapunan ng habag,verb,have pity or sympathize
tawang malutong,adjective,"a hearty laugh
a laugh without any pretension"
tiklop-tuhod,adjective,with all humbleness
tinanggap ng dalawang kamay,verb,received or welcomed someone with pleasure who was the object of anger or hatred
tinawag sa sinapupunan ni Bathala,verb,died
tinik sa puso,adjective,"ill-feeling
extreme sadness"
tisuring bato,adjective,a person who is often belittled or insulted
tubong nilugaw,noun,"net profit that is bigger than the capital
excessive profits on invested capital"
tukod ng yaman,adjective,the wealthiest
"tulak ng bibig, kabig ng dibdib",adjective,pretending to dislike a thing which in truth he likes very much
tulay,noun,go-between of a man and a woman in love with each other
