Title,Part of Speech,Meaning
ubos-lakas,adjective,to give the full force or the strongest
ugaling hayop,adjective,a very bad character or trait
ulilang-lubos,noun,without father and mother
umani ng papuri,adjective,received congratulations and recognition
umutang ng buhay,adjective,murdered another person
usapang maginoo,noun,a gentleman's agreement that should be fulfilled
utak,noun,"a person who acts as an adviser or consultant
a guiding or directing head"
utak-biya,adjective,having or showing a low level of intelligence
utang-na-loob,noun,debt of gratitude
utos-hari,adjective,a strict command that needs to be obeyed
