Title,Part of Speech,Meaning
wala sa balahibo,adjective,cannot be compared to
wala sa kalingkingan,adjective,not of the same competence or ability
wala sa kanyang sarili,adjective,"does not know nor hear (though not deaf) what others are saying to him nor what he himself is saying
not adverting to what is taking place"
wala sa kuko,adjective,very different from another with whom one is being compared
walang bahid,adjective,with a reputable character
walang balon ng salapi,adjective,no wealth
walang bibig,adjective,"no right to interfere
without power or authority"
walang bukang bibig,adjective,"favorite expression
oft-repeated word or phrase"
walang butas,adjective,can't find any reason
walang dila,adjective,shy and could not talk
walang ilaw ang mga mata,adjective,unable to see
walang iniwan,adjective,having a likeness or resemblance
walang itulak-kabigin,adjective,"almost having the same characteristics
could not tell which one should be selected or chosen"
walang kaluluwa,adjective,no pity for others
walang kamay,adjective,does not know any type of work or job
walang kapitbahay,adjective,cannot go well along with people
walang kusang-palo,adjective,does not act without being pushed
walang lingong-likod,adjective,"doesn't recognize debt of gratitude
does not know how to repay the kindness received"
walang makapitan,adjective,without a supporter or protector
walang nalalaman kundi bunga at nganga,adjective,people who are good only in talking
walang preno ang bibig,adjective,"no control in speech
would not stop talking to the extent of hurting the feelings of other people"
walang puso,adjective,"unmerciful
unforgiving"
walang sikmura,adjective,"insensitive and unsympathetic
does not seem to feel what others say"
walang sinasabi,adjective,"without capability or significance
incompetent"
walang sumisira sa bakal kundi ang kalawang,noun,person who destroys the reputation of his relative or friend
walang susi ang bibig,adjective,could not keep a secret
walang tinatanaw na bukas,adjective,does not hope for any bright future
walang ulo,adjective,"with a dull mind
slow"
walang utang-na-loob,adjective,"does not seem to remember any debt of gratitude
ungrateful"
walang-hiya,adjective,"does not feel any shame
impertinent
impudent"
